"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3994","invalid login","firefox","2026-05-16","passed","2026-05-16","","login.spec.ts","",""
"","1262","locked out user","Chromium","2026-05-16","passed","2026-05-16","","login.spec.ts","",""
"","5221","locked out user","firefox","2026-05-16","passed","2026-05-16","","login.spec.ts","",""
"","1600","invalid login","chromium","2026-05-16","passed","2026-05-16","","login.spec.ts","",""
"","1726","order one product","Chromium","2026-05-16","passed","2026-05-16","","order.spec.ts","",""
"","1535","invalid login","Chromium","2026-05-16","passed","2026-05-16","","login.spec.ts","",""
"","1537","valid login","chromium","2026-05-16","passed","2026-05-16","","login.spec.ts","",""
"","6749","valid login","Firefox","2026-05-16","passed","2026-05-16","","login.spec.ts","",""
"","1038","invalid login","Firefox","2026-05-16","passed","2026-05-16","","login.spec.ts","",""
"","1698","locked out user","chromium","2026-05-16","passed","2026-05-16","","login.spec.ts","",""
"","4676","order one product","Firefox","2026-05-16","passed","2026-05-16","","order.spec.ts","",""
"","885","locked out user","Firefox","2026-05-16","passed","2026-05-16","","login.spec.ts","",""
"","1187","valid login","Chromium","2026-05-16","passed","2026-05-16","","login.spec.ts","",""
"","8369","order one product","firefox","2026-05-16","passed","2026-05-16","","order.spec.ts","",""
"","6302","valid login","firefox","2026-05-16","passed","2026-05-16","","login.spec.ts","",""
"","2394","order one product","chromium","2026-05-16","passed","2026-05-16","","order.spec.ts","",""
